betroffene_anlage,primaerenergieart,entry_type,name_technology,matched_id,id_source,method,confidence,needs_review,matched_name,fueltype,capacity_mw,lat,lon,coord_source,mastr_ids,opsd_ids,eic_ids,reasoning,coord_check,check_km
Waldeck 3,Sonstiges,individual,,29,index,llm,low,yes,Waldeck,Hydro,555.0,51.16743333333333,9.046336666666669,index,"SEE933021962319,SEE996080766151,SEE998534788504","BNA0228,BNA0229","11WD2W2--0002757,{nan, nan, nan}","Only hydro plant named Waldeck available, though no explicit block 3 designation exists in data.",confirmed,17.2
Waldeck 4,Sonstiges,individual,,29,index,llm,low,yes,Waldeck,Hydro,555.0,51.16743333333333,9.046336666666669,index,"SEE933021962319,SEE996080766151,SEE998534788504","BNA0228,BNA0229","11WD2W2--0002757,{nan, nan, nan}","Only hydro plant named Waldeck available, though no explicit block 4 designation exists in data.",confirmed,17.2
"Jänschwalde, Lippendorf VE, Schwarze Pumpe",Konventionell,multi_plant,,"315,313,268",index,multi_plant,high,no,Janschwalde + Lippendorf + Schwarze Pumpe,Lignite,6292.0,51.5148,13.7263,index,"SEE923943268279,SEE938337436349,SEE938669585906,SEE952672318108,SEE964729462818,SEE966331411864,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0914,BNA0915"," nan, nan},11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
Brokdorf (EON),Konventionell,individual,,3323,index,exact,high,no,Brokdorf Kbr,Nuclear,1410.0,53.85083,9.34472,index,SEE951462745445,BNA0157,,exact name match,confirmed,2.5
"Boxberg, Jänschwalde, Lippendorf EnBW, Lippendorf VE, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,313,270,268",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,11444.0,51.4226,13.3449,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 6/6 listed plants matched,,
"Goldisthal, Jänschwalde, Lippendorf VE, Markersbach",Konventionell,multi_plant,,"10,315,313,95",index,multi_plant,high,no,Psw Goldisthal Pss + Janschwalde + Lippendorf + Psw Markersbach Pss,"Hydro,Lignite",6879.2,51.0107,12.68,index,"SEE901345486644,SEE904052511746,SEE911219414864,SEE923943268279,SEE938669585906,SEE939026884250,SEE940802366570,SEE943653719359,SEE945148512650,SEE952165584195,SEE964729462818,SEE966331411864,SEE974189836364,SEE983006552202,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0350,BNA0652,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790"," nan, nan},11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8MARK1H----7,{nan",multi-plant entry: 4/4 listed plants matched,,
"Rostock, Schwarze Pumpe",Konventionell,multi_plant,,268,index,multi_plant,medium,yes,Schwarze Pumpe,Lignite,1510.0,51.5314,14.3487,index,"SEE938337436349,SEE952672318108","BNA0914,BNA0915"," nan},11WD8SWPU1L----5,{nan",multi-plant entry: 1/2 listed plants matched,,
"Goldisthal, Rostock",Konventionell,multi_plant,,10,index,multi_plant,medium,yes,Psw Goldisthal Pss,Hydro,1052.0,50.51,11.01,index,"SEE901345486644,SEE943653719359,SEE945148512650,SEE974189836364",BNA0350," nan, nan},11WD8GOLD1H----6,{nan",multi-plant entry: 1/2 listed plants matched,,
"Boxberg, Rostock, Schwarze Pumpe",Konventionell,multi_plant,,"323,268",index,multi_plant,medium,yes,Boxberg + Schwarze Pumpe,Lignite,3980.0,51.4723,14.456,index,"SEE907389779292,SEE908125004449,SEE938337436349,SEE952672318108,SEE968582186379,SEE985842749525","BNA0122,BNA0123,BNA0124,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8SWPU1L----5,{nan",multi-plant entry: 2/3 listed plants matched,,
Redispatch DE<>CH: Vertrag ID,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Generic cross-border redispatch contract entry, not a specific plant.",,
MRL BK TransnetBW,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Generic balancing reserve (MRL) category, not a specific plant.",,
"Lippendorf VE, Rostock",Konventionell,multi_plant,,313,index,multi_plant,medium,yes,Lippendorf,Lignite,1782.0,51.1769,12.3767,index,"SEE966331411864,SEE998199911088","BNA0115,BNA0116"," nan},11WD8LIPD1L----P,{nan",multi-plant entry: 1/2 listed plants matched,,
Römerbrücke Heizkraftwerk,Konventionell,individual,,1145,index,llm,high,no,Romerbrucke,Natural Gas,128.95,49.224164,7.015021,index,"SEE979779484642,SEE950895373805,SEE975188536989,SEE993742446246",BNA0861a,"11WD7UCHT5XROSOK,{nan, nan, nan, nan}",Direct match to HKW Römerbrücke natural gas CHP plant.,disagree,133.1
"Boxberg, Lippendorf VE, Schkopau",Konventionell,multi_plant,,"323,313,270",index,multi_plant,high,no,Boxberg + Lippendorf + Schkopau,Lignite,5152.0,51.3305,12.9636,index,"SEE907389779292,SEE908125004449,SEE947677200282,SEE960652233358,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/3 listed plants matched,,
Gebersdorf GT,Konventionell,individual,,,,llm,none,yes,,,,49.5,11.08,geocode,,,,No candidate matches the Gebersdorf (Nürnberg) gas turbine location or name.,,
"Boxberg, Jänschwalde, Lippendorf VE, Schkopau",Konventionell,multi_plant,,"323,315,313,270",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Schkopau,Lignite,8152.0,51.4568,13.3361,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 4/4 listed plants matched,,
"Boxberg, Lippendorf VE",Konventionell,multi_plant,,"323,313",index,multi_plant,high,no,Boxberg + Lippendorf,Lignite,4252.0,51.2951,13.47,index,"SEE907389779292,SEE908125004449,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,{nan",multi-plant entry: 2/2 listed plants matched,,
"Boxberg, Lippendorf VE, Rostock",Konventionell,multi_plant,,"323,313",index,multi_plant,medium,yes,Boxberg + Lippendorf,Lignite,4252.0,51.2951,13.47,index,"SEE907389779292,SEE908125004449,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,{nan",multi-plant entry: 2/3 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf VE, Moorburg, Schkopau",Konventionell,multi_plant,,"323,315,313,697,270",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf + Moorburg + Schkopau,"Hard Coal,Lignite",9752.0,51.863,12.6588,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE972471937317,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088,SEE999848168525","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404,BNA1558,BNA1673"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 5/5 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf VE",Konventionell,multi_plant,,"323,315,313",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf,Lignite,7252.0,51.4754,13.7978,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 3/3 listed plants matched,,
"Jänschwalde, Lippendorf VE, Moorburg, Schkopau",Konventionell,multi_plant,,"315,313,697,270",index,multi_plant,high,no,Janschwalde + Lippendorf + Moorburg + Schkopau,"Hard Coal,Lignite",7282.0,51.9754,12.1827,index,"SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE972471937317,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088,SEE999848168525","BNA0115,BNA0116,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1558,BNA1673"," nan, nan},11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 4/4 listed plants matched,,
"Lippendorf VE, Schwarze Pumpe",Konventionell,multi_plant,,"313,268",index,multi_plant,high,no,Lippendorf + Schwarze Pumpe,Lignite,3292.0,51.3541,13.3627,index,"SEE938337436349,SEE952672318108,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0914,BNA0915"," nan},11WD8LIPD1L----P,11WD8SWPU1L----5,{nan",multi-plant entry: 2/2 listed plants matched,,
"Lippendorf VE, Moorburg, Schwarze Pumpe",Konventionell,multi_plant,,"313,697,268",index,multi_plant,high,no,Lippendorf + Moorburg + Schwarze Pumpe,"Hard Coal,Lignite",4892.0,52.0653,12.225,index,"SEE938337436349,SEE952672318108,SEE966331411864,SEE972471937317,SEE998199911088,SEE999848168525","BNA0115,BNA0116,BNA0914,BNA0915,BNA1558,BNA1673"," nan},11WD8LIPD1L----P,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
"Lippendorf VE, Moorburg",Konventionell,multi_plant,,"313,697",index,multi_plant,high,no,Lippendorf + Moorburg,"Hard Coal,Lignite",3382.0,52.3322,11.1632,index,"SEE966331411864,SEE972471937317,SEE998199911088,SEE999848168525","BNA0115,BNA0116,BNA1558,BNA1673"," nan},11WD8LIPD1L----P,{nan",multi-plant entry: 2/2 listed plants matched,,
Redispatch BK,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Generic balancing capacity redispatch entry, not a specific plant.",,
"Goldisthal, Jänschwalde, Lippendorf VE",Konventionell,multi_plant,,"10,315,313",index,multi_plant,high,no,Psw Goldisthal Pss + Janschwalde + Lippendorf,"Hydro,Lignite",5834.0,51.1743,12.6134,index,"SEE901345486644,SEE923943268279,SEE938669585906,SEE943653719359,SEE945148512650,SEE964729462818,SEE966331411864,SEE974189836364,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0350,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790"," nan, nan},11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 3/3 listed plants matched,,
Amprion Abruf abschaltbare Lasten,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Refers to a demand-response/interruptible load call, not a specific generating plant.",,
Abschaltbare Last (RZ TenneT DE),Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Generic demand-response measure, not a specific power plant.",,
"Boxberg, Goldisthal, Jänschwalde, Lippendorf VE, Schkopau",Konventionell,multi_plant,,"323,10,315,313,270",index,multi_plant,high,no,Boxberg + Psw Goldisthal Pss + Janschwalde + Lippendorf + Schkopau,"Hydro,Lignite",9204.0,51.2675,12.8708,index,"SEE901345486644,SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE943653719359,SEE945148512650,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE974189836364,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0350,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 5/5 listed plants matched,,
"Lippendorf EnBW, Lippendorf VE, Schkopau",Konventionell,multi_plant,,"313,313,270",index,multi_plant,high,no,Lippendorf + Lippendorf + Schkopau,Lignite,4464.0,51.2517,12.2347,index,"SEE947677200282,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/3 listed plants matched,,
Isar 2 (EON),Konventionell,individual,,3296,index,exact,high,no,Isar 2 Kki 2,Nuclear,1410.0,48.6056,12.29315,index,SEE943690268513,BNA0263,,exact name match,disagree,44.9
"Lippendorf EnBW, Lippendorf VE, Markersbach, Schkopau",Konventionell,multi_plant,,"313,313,95,270",index,multi_plant,high,no,Lippendorf + Lippendorf + Psw Markersbach Pss + Schkopau,"Hydro,Lignite",5509.2,51.0687,12.3961,index,"SEE904052511746,SEE911219414864,SEE939026884250,SEE940802366570,SEE947677200282,SEE952165584195,SEE960652233358,SEE966331411864,SEE983006552202,SEE998199911088","BNA0115,BNA0116,BNA0652,BNA0878,BNA0879"," nan, nan},11WD8LIPD1L----P,11WD8MARK1H----7,11WD8SCHK1L----O,{nan",multi-plant entry: 4/4 listed plants matched,,
"Hohenwarte 2, Lippendorf EnBW, Lippendorf VE, Schkopau",Konventionell,multi_plant,,"313,313,270",index,multi_plant,medium,yes,Lippendorf + Lippendorf + Schkopau,Lignite,4464.0,51.2517,12.2347,index,"SEE947677200282,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/4 listed plants matched,,
"Lippendorf EnBW, Lippendorf VE, Rostock, Schkopau",Konventionell,multi_plant,,"313,313,270",index,multi_plant,medium,yes,Lippendorf + Lippendorf + Schkopau,Lignite,4464.0,51.2517,12.2347,index,"SEE947677200282,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 3/4 listed plants matched,,
"Jänschwalde, Lippendorf EnBW",Konventionell,multi_plant,,"315,313",index,multi_plant,high,no,Janschwalde + Lippendorf,Lignite,4782.0,51.5065,13.4151,index,"SEE923943268279,SEE938669585906,SEE964729462818,SEE966331411864,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790"," nan, nan},11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 2/2 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf EnBW",Konventionell,multi_plant,,"323,315,313",index,multi_plant,high,no,Boxberg + Janschwalde + Lippendorf,Lignite,7252.0,51.4754,13.7978,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 3/3 listed plants matched,,
Emden 4 GT,Konventionell,individual,,3305,index,llm,medium,no,Gud Emden,Natural Gas,52.0,53.340524,7.210348,index,SEE950589701143,"BNA0245b,BNA0245a",,‘GT’ (gas turbine) block at Emden matches the Gud Emden gas-fired unit rather than the steam turbine unit.,confirmed,2.8
Robert Frank 4 GT,Konventionell,individual,,21638,index,llm,high,no,Robert Frank,Natural Gas,58.0,52.54585,9.11363,index,,,,Direct name match to the Robert Frank natural gas plant.,disagree,259.7
"Lippendorf EnBW, Schkopau",Konventionell,multi_plant,,"313,270",index,multi_plant,high,no,Lippendorf + Schkopau,Lignite,2682.0,51.289,12.1638,index,"SEE947677200282,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 2/2 listed plants matched,,
"Boxberg, Jänschwalde, Rostock, Schkopau",Konventionell,multi_plant,,"323,315,270",index,multi_plant,medium,yes,Boxberg + Janschwalde + Schkopau,Lignite,6370.0,51.5501,13.6558,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418","BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8SCHK1L----O,{nan",multi-plant entry: 3/4 listed plants matched,,
Reservekraftwerk Walheim,Konventionell,individual,,596,index,llm,medium,no,Walheim,Hard Coal,244.0,49.017585,9.15769,index,"SEE937157344278,SEE964114029633","BNA1005,BNA1006","{nan, nan}","Walheim hard-coal block was converted into a grid reserve plant, matching this larger Walheim unit.",confirmed,6.2
Netzreservekraftwerk KMW 2,Konventionell,individual,,,,llm,none,yes,,,,,,none,,,,No candidate plausibly corresponds to the abbreviation 'KMW'.,,
Reservekraftwerk Marbach,Konventionell,individual,,3275,index,llm,high,no,Marbach,Oil,735.9,48.927387499999995,9.231165,index,"SEE994391041424,SEE933361522259,SEE957900196671,SEE904088512342","BNA0647,BNA0649,BNA0648","{nan, nan, nan, nan}",Direct name match to the Marbach oil-fired reserve plant.,confirmed,2.1
Auslaendische-Netzreserve,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,"Refers to foreign grid reserve capacity, not a specific German plant.",,
"Goldisthal, Hohenwarte 2",Sonstiges,multi_plant,,10,index,multi_plant,medium,yes,Psw Goldisthal Pss,Hydro,1052.0,50.51,11.01,index,"SEE901345486644,SEE943653719359,SEE945148512650,SEE974189836364",BNA0350," nan, nan},11WD8GOLD1H----6,{nan",multi-plant entry: 1/2 listed plants matched,,
MEAS,Sonstiges,individual,,,,llm,none,yes,,,,,,none,,,,Abbreviation does not correspond to any candidate plant name.,,
Reservekraftwerk Ingolstadt 3,Konventionell,individual,,8622,index,llm,high,no,Ingolstadt,Oil,720.0,48.761882,11.50246,index,"SEE950675787617,SEE983645175053","BNA0378,BNA0379","{nan, nan}",Ingolstadt oil plant covers block 3 of the reserve units at this site.,confirmed,5.7
Reservekraftwerk Ingolstadt 4,Konventionell,individual,,8622,index,llm,high,no,Ingolstadt,Oil,720.0,48.761882,11.50246,index,"SEE950675787617,SEE983645175053","BNA0378,BNA0379","{nan, nan}",Ingolstadt oil plant covers block 4 of the reserve units at this site.,confirmed,5.7
"Goldisthal, Jänschwalde, Lippendorf EnBW",Konventionell,multi_plant,,"10,315,313",index,multi_plant,high,no,Psw Goldisthal Pss + Janschwalde + Lippendorf,"Hydro,Lignite",5834.0,51.1743,12.6134,index,"SEE901345486644,SEE923943268279,SEE938669585906,SEE943653719359,SEE945148512650,SEE964729462818,SEE966331411864,SEE974189836364,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0350,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790"," nan, nan},11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 3/3 listed plants matched,,
"Goldisthal, Jänschwalde, Lippendorf EnBW, Lippendorf VE",Konventionell,multi_plant,,"10,315,313,313",index,multi_plant,high,no,Psw Goldisthal Pss + Janschwalde + Lippendorf + Lippendorf,"Hydro,Lignite",7616.0,51.175,12.5542,index,"SEE901345486644,SEE923943268279,SEE938669585906,SEE943653719359,SEE945148512650,SEE964729462818,SEE966331411864,SEE974189836364,SEE985047526785,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0350,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790"," nan, nan},11WD8GOLD1H----6,11WD8JAEN1L----Z,11WD8LIPD1L----P,{nan",multi-plant entry: 4/4 listed plants matched,,
"Boxberg, Lippendorf VE, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,313,270,268",index,multi_plant,high,no,Boxberg + Lippendorf + Schkopau + Schwarze Pumpe,Lignite,6662.0,51.3807,13.3099,index,"SEE907389779292,SEE908125004449,SEE938337436349,SEE947677200282,SEE952672318108,SEE960652233358,SEE966331411864,SEE968582186379,SEE985842749525,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 4/4 listed plants matched,,
"Boxberg, Jänschwalde, Lippendorf VE, Moorburg, Rostock, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"323,315,313,697,270,268",index,multi_plant,medium,yes,Boxberg + Janschwalde + Lippendorf + Moorburg + Schkopau + Schwarze Pumpe,"Hard Coal,Lignite",11262.0,51.8077,12.9404,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938337436349,SEE938669585906,SEE947677200282,SEE952672318108,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE972471937317,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088,SEE999848168525","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA0914,BNA0915,BNA1404,BNA1558,BNA1673"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 6/7 listed plants matched,,
"Boxberg, Jänschwalde, Moorburg",Konventionell,multi_plant,,"323,315,697",index,multi_plant,high,no,Boxberg + Janschwalde + Moorburg,"Hard Coal,Lignite",7070.0,52.2456,12.9888,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE964729462818,SEE968582186379,SEE972471937317,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE999848168525","BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA1404,BNA1558,BNA1673"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,{nan",multi-plant entry: 3/3 listed plants matched,,
Gundremmingen B (EON),Konventionell,individual,,15117,index,exact,high,no,Gundremmingen B,Nuclear,1344.0,48.515,10.4016,index,,,,exact name match,confirmed,3.3
"Boxberg, Jänschwalde, Lippendorf VE, Rostock, Schkopau",Konventionell,multi_plant,,"323,315,313,270",index,multi_plant,medium,yes,Boxberg + Janschwalde + Lippendorf + Schkopau,Lignite,8152.0,51.4568,13.3361,index,"SEE907389779292,SEE908125004449,SEE923943268279,SEE938669585906,SEE947677200282,SEE960652233358,SEE964729462818,SEE966331411864,SEE968582186379,SEE985047526785,SEE985842749525,SEE989591633753,SEE991817093418,SEE998199911088","BNA0115,BNA0116,BNA0122,BNA0123,BNA0124,BNA0785,BNA0786,BNA0787,BNA0788,BNA0789,BNA0790,BNA0878,BNA0879,BNA1404"," nan, nan},11WD8BOXB1L----J,11WD8JAEN1L----Z,11WD8LIPD1L----P,11WD8SCHK1L----O,{nan",multi-plant entry: 4/5 listed plants matched,,
Hannover (GKH) 1,Konventionell,individual,,,,llm,none,yes,,,,52.37,9.74,geocode,,,,No candidate corresponds to the Gemeinschaftskraftwerk Hannover (GKH) location.,,
München Nord 2,Konventionell,individual,,739,index,llm,high,no,Swm Nord,Natural Gas,333.0,48.180641,11.637754,index,SEE952372080091,BNA0969b,"11WD2WBNK000318M,11WD2NO2K000308Z",Swm Nord variant 'Nord 2' matches München Nord 2 name and coordinates.,confirmed,4.8
SW Hannover KW-Pool,Konventionell,individual,,,,llm,none,yes,,,,52.37,9.74,geocode,,,,No candidate corresponds to a Hannover municipal utility plant pool.,,
München Süd GT 62,Konventionell,individual,,8635,index,llm,high,no,Gt,Natural Gas,381.3,50.027031,8.2409,index,"SEE909927513559,SEE982563254987","BNA0684b,BNA0683c,BNA0683b,BNA0684a,BNA0683a,BNA0684c","{nan, nan}",Exact variant match 'Süd GT 62' for the München Süd gas turbine unit.,disagree,321.3
Linden GKL GT 1,Konventionell,individual,,,,llm,none,yes,,,,52.38,9.65,geocode,,,,"No candidate named Linden (Gemeinschaftskraftwerk Linden, Hannover) appears in the candidate list.",,
Zolling GT 1,Konventionell,individual,,6140,index,llm,high,no,Zolling Gt,Oil,49.0,48.455489,11.796122,index,"SEE962777669616,SEE949509046600",BNA1092,"{nan, nan}",Zolling Gt is the gas turbine unit at the Zolling site.,confirmed,6.6
Zolling GT 2,Konventionell,individual,,6140,index,llm,medium,no,Zolling Gt,Oil,49.0,48.455489,11.796122,index,"SEE962777669616,SEE949509046600",BNA1092,"{nan, nan}","Only one Zolling gas turbine candidate exists, likely representing both GT1 and GT2 units at the same site.",confirmed,6.6
"Lippendorf VE, Schkopau, Schwarze Pumpe",Konventionell,multi_plant,,"313,270,268",index,multi_plant,high,no,Lippendorf + Schkopau + Schwarze Pumpe,Lignite,4192.0,51.3698,12.8921,index,"SEE938337436349,SEE947677200282,SEE952672318108,SEE960652233358,SEE966331411864,SEE998199911088","BNA0115,BNA0116,BNA0878,BNA0879,BNA0914,BNA0915"," nan},11WD8LIPD1L----P,11WD8SCHK1L----O,11WD8SWPU1L----5,{nan",multi-plant entry: 3/3 listed plants matched,,
Freimann GT 1,Konventionell,individual,,690,index,llm,high,no,Swm Freimann,Natural Gas,105.219,48.189,11.596,index,"SEE945217244789,SEE920560912882","BNA0681,BNA0682","11WD2FREI000095T,{nan, nan}",Exact variant match 'Freimann GT 1' for the SWM Freimann gas plant.,confirmed,2.2
